GO:0048515,spermatid_differentiation
GO:0160087,spermatid_cytoplasm_removal_during_spermiation_of_flagellated_sperm
GO:0007286,spermatid_development
GO:0007289,spermatid_nucleus_differentiation
GO:0007290,spermatid_nucleus_elongation
GO:0045700,regulation_of_spermatid_nuclear_differentiation
GO:0045701,negative_regulation_of_spermatid_nuclear_differentiation
GO:0045702,positive_regulation_of_spermatid_nuclear_differentiation
GO:0048137,spermatocyte_division
GO:0035092,sperm_DNA_condensation
GO:0061830,concave_side_of_sperm_head
GO:0061831,apical_ectoplasmic_specialization
GO:0061827,sperm_head
GO:0061828,apical_tubulobulbar_complex
GO:0061822,ciliary_cap
GO:0061823,ring_centriole
GO:0036284,tubulobulbar_complex
GO:0036126,sperm_flagellum
GO:0036063,acroblast
GO:0097598,sperm_cytoplasmic_droplet
GO:0016006,Nebenkern
GO:0002177,manchette
GO:0007287,Nebenkern_assembly
GO:0007291,sperm_individualization
GO:0001675,acrosome_assembly
