spermatid_nucleus_elongation                                         ,concave_side_of_sperm_head                                           ,apical_ectoplasmic_specialization                                    ,sperm_head                                                           ,tubulobulbar_complex                                                 ,sperm_flagellum                                                      ,sperm_cytoplasmic_droplet                                            ,manchette                                                            ,sperm_individualization                                              ,acrosome_assembly                                                    
Kdm3a,Ddx6,Atp2a2,Plcz1,Dnm3,Il4i1,Pithd1,Meig1,Spem3,AU040320
Ift88,Actr3,Actr3,Adam3,Arpc1b,Ttll3,Ift172,Dync1h1,Spem1,Actl7a
Tnp1,Arpc2,,Adam4,Actr3,Septin10,Nme8,Ran,,Mfsd14a
H1f7,,,Aldoa,,Gas8,Ropn1,Spin,,Agfg1
Dmrtc2,,,Ddx6,,Catsperd,,Strbp,,Pafah1b1
Cfap61,,,Adam26a,,Hyal3,,Ift88,,Pln
,,,Adam24,,Rap1a,,Cfap221,,Nectin2
,,,Hsp90ab1,,Dh1,,Ccdc38,,Rfx2
,,,Rho,,Ace,,Rimbp3,,Sec23ip
,,,Tacr1,,Ak1,,Spef2,,Sox30
,,,Tacr2,,Ak2,,Spag6l,,Tmf1
,,,Gm4787,,Akap3,,Actr1a,,Ccdc136
,,,Ccdc38,,Akap4,,Ift20,,Tbpl1
,,,Adam25,,Aldoa,,Pacrg,,Pla2g3
,,,Adam6b,,Atp1a1,,Ppp1r42,,Sppl2c
,,,Adam6a,,Atp1b1,,Iqcg,,Garin1a
,,,Adam29,,Atp1b3,,Spmip6,,Ccdc42
,,,Scaper,,Calm1,,Lrguk,,Garin1b
,,,Pcdh11x,,Capzb,,Spag17,,Pfn4
,,,Adam34,,Ccr6,,Ccdc181,,Zpbp
,,,Adam1b,,Ift81,,Lztfl1,,Acrbp
,,,Adam1a,,Ctsh,,,,Vps13b
,,,Opn4,,Ddx6,,,,Tbc1d20
,,,Adam26b,,Defb1,,,,Spaca1
,,,Adam20,,Dh8,,,,Eqtn
,,,Adam34l,,Slc26a3,,,,Zpbp2
,,,Adam39,,Drd2,,,,Actl9
,,,Adam21,,Gapdhs,,,,Spink2
,,,Park7,,Gk2,,,,Fam209
,,,Actl9,,Gstm5,,,,Slc9a8
,,,Adam30,,Hspd1,,,,
,,,Actr3,,Hsp90aa1,,,,
,,,Wbp2nl,,Kif2a,,,,
,,,Arpc2,,Kif9,,,,
,,,Cst11,,Ldha,,,,
,,,Djb1,,Marcks,,,,
,,,,,Slc26a6,,,,
,,,,,Met,,,,
,,,,,Mns1,,,,
,,,,,Septin2,,,,
,,,,,Odf1,,,,
,,,,,Odf2,,,,
,,,,,Sqstm1,,,,
,,,,,Pde1a,,,,
,,,,,Pfkm,,,,
,,,,,Pgam1,,,,
,,,,,Pgk2,,,,
,,,,,Prkaca,,,,
,,,,,Septin4,,,,
,,,,,Ppp3cc,,,,
,,,,,Ppp3r2,,,,
,,,,,Prkar1a,,,,
,,,,,Ran,,,,
,,,,,Rpgr,,,,
,,,,,Scnn1a,,,,
,,,,,Spa17,,,,
,,,,,Cfap69,,,,
,,,,,Tsga10,,,,
,,,,,Rho,,,,
,,,,,Catsper2,,,,
,,,,,Txndc2,,,,
,,,,,Tacr1,,,,
,,,,,Tacr2,,,,
,,,,,Tacr3,,,,
,,,,,Tcp11,,,,
,,,,,Adgb,,,,
,,,,,Tcte1,,,,
,,,,,Dynlt2a1,,,,
,,,,,Qrich2,,,,
,,,,,Ift88,,,,
,,,,,Tppp2,,,,
,,,,,Rsph1,,,,
,,,,,Vdac2,,,,
,,,,,Mroh2b,,,,
,,,,,Slc26a8,,,,
,,,,,Catsper1,,,,
,,,,,Eno4,,,,
,,,,,Cfap221,,,,
,,,,,Cfap119,,,,
,,,,,Septin7,,,,
,,,,,Ccdc38,,,,
,,,,,Cd52,,,,
,,,,,Ttll8,,,,
,,,,,Cfap65,,,,
,,,,,Fsip2,,,,
,,,,,Dynlt4,,,,
,,,,,Pcdh11x,,,,
,,,,,Odf4,,,,
,,,,,Cul3,,,,
,,,,,Nherf1,,,,
,,,,,Cfap251,,,,
,,,,,Catsperb,,,,
,,,,,Vps13a,,,,
,,,,,Atp1a4,,,,
,,,,,Ssxb3,,,,
,,,,,Spaca5,,,,
,,,,,Grk3,,,,
,,,,,Catsperg1,,,,
,,,,,Spef2,,,,
,,,,,Spata33,,,,
,,,,,Dh2,,,,
,,,,,Catsper4,,,,
,,,,,Saxo2,,,,
,,,,,Aldoart1,,,,
,,,,,Defb37,,,,
,,,,,Slirp,,,,
,,,,,Tmem232,,,,
,,,,,Spata6l,,,,
,,,,,Cfap58,,,,
,,,,,Atp2b4,,,,
,,,,,Spag6,,,,
,,,,,Slc22a14,,,,
,,,,,Ssxb13,,,,
,,,,,Ssxb10,,,,
,,,,,Ssxb5,,,,
,,,,,Di2,,,,
,,,,,Akap14,,,,
,,,,,Spag6l,,,,
,,,,,Oaz3,,,,
,,,,,Cfap74,,,,
,,,,,Catspere2,,,,
,,,,,Abhd2,,,,
,,,,,Ssxb15,,,,
,,,,,Gabarap,,,,
,,,,,Pmfbp1,,,,
,,,,,Septin6,,,,
,,,,,Fscb,,,,
,,,,,Ssxb14,,,,
,,,,,Ssxb8,,,,
,,,,,Catspere1,,,,
,,,,,Cfap47,,,,
,,,,,Tmem249,,,,
,,,,,Spag16,,,,
,,,,,Ssxb6,,,,
,,,,,Ift27,,,,
,,,,,Catsperz,,,,
,,,,,Txndc8,,,,
,,,,,Ift172,,,,
,,,,,Spata6,,,,
,,,,,Tomm20,,,,
,,,,,Ssxb1,,,,
,,,,,Ccdc34,,,,
,,,,,Efcab2,,,,
,,,,,Dcdc2c,,,,
,,,,,Rabl2,,,,
,,,,,Ak8,,,,
,,,,,Lyzl4,,,,
,,,,,Glipr1l1,,,,
,,,,,Cimap1a,,,,
,,,,,Efcab9,,,,
,,,,,Pacrg,,,,
,,,,,Djb13,,,,
,,,,,Lyzl6,,,,
,,,,,Iqcg,,,,
,,,,,Dh17,,,,
,,,,,Spaca9,,,,
,,,,,Tekt5,,,,
,,,,,Garin2,,,,
,,,,,Cabs1,,,,
,,,,,Tekt3,,,,
,,,,,Septin12,,,,
,,,,,Tssk4,,,,
,,,,,Cabyr,,,,
,,,,,Enkur,,,,
,,,,,Tekt4,,,,
,,,,,Tcp11x2,,,,
,,,,,Cabcoco1,,,,
,,,,,Ttc29,,,,
,,,,,Cimip4,,,,
,,,,,Nme8,,,,
,,,,,C2cd6,,,,
,,,,,Rnf38,,,,
,,,,,Spata18,,,,
,,,,,Spmip6,,,,
,,,,,Tbc1d21,,,,
,,,,,Slc9b1,,,,
,,,,,Cfap53,,,,
,,,,,Drc3,,,,
,,,,,Ptchd3,,,,
,,,,,Wbp2nl,,,,
,,,,,Ccdc181,,,,
,,,,,Ct55,,,,
,,,,,Cep128,,,,
,,,,,Spata19,,,,
,,,,,Morn5,,,,
,,,,,Nme5,,,,
,,,,,Dli1,,,,
,,,,,Rsph9,,,,
,,,,,Spaca3,,,,
,,,,,Ccdc172,,,,
,,,,,Saxo1,,,,
,,,,,Ropn1,,,,
,,,,,Sun5,,,,
,,,,,Spatc1l,,,,
,,,,,Cfap70,,,,
,,,,,Catsperg2,,,,
,,,,,Atg16l1,,,,
,,,,,Dnhd1,,,,
,,,,,Cst11,,,,
,,,,,Cfap61,,,,
,,,,,Rsph6a,,,,
,,,,,Usp26,,,,
,,,,,Slc9b2,,,,
